Age,Is_Senior,Marital_Status,Married_Premium_Discount,Prior_Insurance,Prior_Insurance_Premium_Adjustment,Claims_Frequency,Claims_Severity,Claims_Adjustment,Policy_Type,Policy_Adjustment,Premium_Amount,Safe_Driver_Discount,Multi_Policy_Discount,Bundling_Discount,Total_Discounts,Source_of_Lead,Time_Since_First_Contact,Conversion_Status,Website_Visits,Inquiries,Quotes_Requested,Time_to_Conversion,Credit_Score,Premium_Adjustment_Credit,Region,Premium_Adjustment_Region
48,0,Widowed,0,1-5 years,50,0,Medium,0,Full Coverage,0,2200,1,0,0,50,Online,11,1,7,2,2,3,728.1828933365339,-50,Urban,100
64,1,Married,86,1-5 years,50,0,Low,0,Liability-Only,-200,2136,0,0,1,50,Agent,4,1,0,1,3,6,664.6363288769405,50,Suburban,50
34,0,Divorced,0,1-5 years,50,0,High,0,Liability-Only,-200,1950,0,1,0,50,Online,4,1,7,3,2,7,710.5486078263491,-50,Suburban,50
36,0,Married,86,>5 years,0,0,Low,0,Liability-Only,-200,2136,1,0,0,50,Online,16,0,1,3,3,14,663.3509012495758,50,Urban,100
31,0,Divorced,0,>5 years,0,0,Low,0,Full Coverage,0,2200,0,0,0,0,Agent,24,1,7,1,2,5,690.1982640256581,50,Rural,0
24,0,Married,86,>5 years,0,3,Low,150,Liability-Only,-200,2086,0,1,0,50,Agent,28,1,2,2,3,5,703.0840970701229,-50,Rural,0
30,0,Single,0,<1 year,100,1,Low,50,Full Coverage,0,2300,1,0,0,50,Agent,29,1,1,4,2,13,711.2262897106889,-50,Urban,100
21,0,Divorced,0,1-5 years,50,0,Low,0,Full Coverage,0,2300,0,1,0,50,Online,25,1,3,4,1,5,667.7649872683344,50,Urban,100
40,0,Married,86,1-5 years,50,0,High,0,Full Coverage,0,2336,0,0,0,0,Agent,13,1,3,1,2,5,748.4974951369583,-50,Urban,100
28,0,Single,0,<1 year,100,1,Low,50,Full Coverage,0,2300,0,0,0,0,Online,26,1,0,1,3,11,732.9339475279288,-50,Suburban,50
43,0,Divorced,0,1-5 years,50,2,Low,100,Liability-Only,-200,2100,1,0,0,50,Online,17,1,6,0,1,11,763.4308455237593,-50,Urban,100
18,0,Single,0,1-5 years,50,0,Low,0,Liability-Only,-200,2050,0,1,1,100,Online,6,1,4,4,2,7,693.7224089789003,50,Urban,100
44,0,Widowed,0,1-5 years,50,1,Low,50,Liability-Only,-200,2050,0,1,0,50,Online,13,0,5,0,2,10,710.6315593308245,-50,Urban,100
52,0,Married,86,>5 years,0,0,Low,0,Liability-Only,-200,2186,0,0,0,0,Online,18,1,4,1,1,1,610.3227189339358,50,Urban,100
18,0,Married,86,>5 years,0,2,Low,100,Liability-Only,-200,2136,0,1,0,50,Online,13,1,6,1,2,2,808.844207447203,-50,Urban,100
45,0,Married,86,<1 year,100,1,Low,50,Full Coverage,0,2386,1,0,0,50,Agent,30,0,1,2,2,12,729.1139865035419,-50,Urban,100
58,1,Married,86,1-5 years,50,1,High,200,Liability-Only,-200,2236,0,0,0,0,Online,10,1,9,1,1,3,773.1123453237045,-50,Rural,0
21,0,Married,86,>5 years,0,0,Low,0,Liability-Only,-200,2036,0,1,0,50,Online,28,1,3,1,1,2,738.0269584103688,-50,Urban,100
65,1,Single,0,1-5 years,50,0,Medium,0,Full Coverage,0,2200,1,0,0,50,Online,29,0,4,2,2,14,795.5677300489514,-50,Urban,100
46,0,Married,86,1-5 years,50,1,Low,50,Liability-Only,-200,1986,1,1,0,100,Online,3,1,3,3,3,2,746.1991525377464,-50,Rural,0
29,0,Married,86,1-5 years,50,0,Low,0,Full Coverage,0,2436,0,0,0,0,Online,25,0,3,1,2,14,602.3341115798406,50,Urban,100
39,0,Married,86,1-5 years,50,0,Low,0,Full Coverage,0,2336,1,1,0,100,Online,23,1,5,1,2,3,601.7734116208151,50,Urban,100
48,0,Divorced,0,<1 year,100,0,Medium,0,Full Coverage,0,2250,0,0,0,0,Online,3,1,6,1,3,1,765.1977965642658,-50,Suburban,50
41,0,Single,0,>5 years,0,1,Low,50,Liability-Only,-200,2000,0,0,0,0,Online,10,1,7,5,1,2,751.6902792241211,-50,Suburban,50
48,0,Married,86,<1 year,100,1,Low,50,Liability-Only,-200,2236,0,0,0,0,Agent,11,1,1,1,2,7,741.3712198688677,-50,Urban,100
26,0,Divorced,0,1-5 years,50,1,Low,50,Full Coverage,0,2250,0,0,0,0,Online,12,0,3,2,3,13,736.5489441274084,-50,Suburban,50
42,0,Married,86,<1 year,100,0,Low,0,Liability-Only,-200,2136,1,0,0,50,Online,21,1,5,6,2,2,803.6009467225988,-50,Urban,100
18,0,Widowed,0,>5 years,0,1,Medium,100,Full Coverage,0,2300,0,0,0,0,Online,22,1,7,3,1,1,697.6143871273084,50,Rural,0
38,0,Single,0,<1 year,100,0,Low,0,Full Coverage,0,2300,0,0,0,0,Online,6,1,6,2,1,6,710.1444396681401,-50,Urban,100
26,0,Married,86,1-5 years,50,2,Low,100,Full Coverage,0,2386,0,1,0,50,Online,14,1,3,3,3,12,725.6438624124801,-50,Urban,100
28,0,Single,0,1-5 years,50,0,Low,0,Full Coverage,0,2300,0,1,0,50,Online,25,1,4,3,3,13,690.3716578693432,50,Urban,100
58,1,Single,0,1-5 years,50,0,Low,0,Liability-Only,-200,1950,0,1,0,50,Referral,1,1,6,4,3,9,753.5385239605364,-50,Suburban,50
56,1,Married,86,1-5 years,50,0,Medium,0,Full Coverage,0,2336,0,0,0,0,Agent,16,1,7,3,1,2,730.650356674248,-50,Urban,100
49,0,Divorced,0,1-5 years,50,2,Medium,200,Full Coverage,0,2550,0,0,0,0,Agent,28,1,8,1,1,4,643.9791465306029,50,Urban,100
23,0,Married,86,>5 years,0,0,Low,0,Full Coverage,0,2336,0,0,0,0,Online,2,1,9,1,2,13,698.7790339390111,50,Suburban,50
35,0,Married,86,>5 years,0,0,Low,0,Liability-Only,-200,1986,0,0,0,0,Online,11,1,5,1,1,6,763.3771974425184,-50,Rural,0
58,1,Married,86,1-5 years,50,0,Low,0,Full Coverage,0,2336,0,0,0,0,Online,7,1,4,2,2,12,693.1575965003124,50,Rural,0
42,0,Married,86,<1 year,100,0,Low,0,Full Coverage,0,2386,0,0,0,0,Online,27,0,3,1,3,8,809.940375931536,-50,Urban,100
74,1,Married,86,<1 year,100,2,Low,100,Full Coverage,0,2486,0,0,0,0,Online,4,1,3,4,2,5,784.5003872385595,-50,Urban,100
45,0,Widowed,0,>5 years,0,1,Low,50,Full Coverage,0,2300,0,0,0,0,Referral,6,1,2,4,1,11,647.4666695060221,50,Suburban,50
42,0,Married,86,1-5 years,50,1,Low,50,Liability-Only,-200,2136,0,1,0,50,Online,25,1,2,3,1,10,711.4026012457831,-50,Urban,100
35,0,Married,86,>5 years,0,0,Medium,0,Full Coverage,0,2286,0,1,0,50,Referral,9,1,9,4,1,3,690.7038529721596,50,Suburban,50
42,0,Single,0,1-5 years,50,0,Low,0,Full Coverage,0,2200,0,1,0,50,Online,4,1,3,6,3,10,727.0748777357519,-50,Urban,100
37,0,Divorced,0,>5 years,0,2,Low,100,Full Coverage,0,2250,1,1,1,150,Online,7,1,2,2,1,10,683.4665834501258,50,Urban,100
50,0,Widowed,0,>5 years,0,1,Medium,100,Liability-Only,-200,2100,0,0,0,0,Online,3,1,6,4,3,13,705.9249839093619,-50,Urban,100
54,0,Single,0,>5 years,0,2,Low,100,Liability-Only,-200,2000,1,0,0,50,Online,19,1,2,5,2,2,778.1670230012918,-50,Suburban,50
28,0,Widowed,0,1-5 years,50,1,High,200,Liability-Only,-200,2200,1,0,0,50,Online,20,1,9,3,1,6,812.9338200788942,-50,Urban,100
20,0,Single,0,1-5 years,50,0,Low,0,Liability-Only,-200,2050,0,0,0,0,Online,21,1,6,2,1,6,718.3048499951402,-50,Urban,100
18,0,Widowed,0,1-5 years,50,0,Medium,0,Full Coverage,0,2250,0,0,0,0,Agent,29,1,4,4,1,10,660.1443800107779,50,Rural,0
47,0,Single,0,1-5 years,50,0,Medium,0,Full Coverage,0,2250,0,0,0,0,Online,25,1,7,0,1,8,707.1509729690168,-50,Urban,100
23,0,Married,86,1-5 years,50,1,Low,50,Liability-Only,-200,2086,1,0,0,50,Agent,12,1,5,3,2,6,764.7325809912813,-50,Suburban,50
18,0,Married,86,<1 year,100,0,Low,0,Full Coverage,0,2286,0,1,0,50,Online,2,1,12,2,2,3,743.2256637866565,-50,Suburban,50
45,0,Single,0,1-5 years,50,1,Low,50,Liability-Only,-200,2200,0,0,0,0,Agent,17,1,8,2,1,11,675.377882244365,50,Urban,100
77,1,Married,86,1-5 years,50,0,Low,0,Liability-Only,-200,2186,1,0,0,50,Agent,11,1,7,4,1,11,665.0783741536069,50,Urban,100
39,0,Married,86,1-5 years,50,0,Low,0,Full Coverage,0,2236,0,1,1,100,Agent,1,0,5,0,1,10,753.0540900757854,-50,Urban,100
52,0,Single,0,1-5 years,50,0,Low,0,Full Coverage,0,2150,0,0,0,0,Agent,15,1,10,4,2,10,749.3839236368976,-50,Rural,0
41,0,Widowed,0,1-5 years,50,0,Low,0,Full Coverage,0,2100,1,1,0,100,Online,1,0,5,2,2,10,705.4835770291367,-50,Suburban,50
38,0,Married,86,1-5 years,50,0,Low,0,Full Coverage,0,2436,0,0,0,0,Online,25,1,2,0,1,3,605.48264946508,50,Urban,100
53,0,Single,0,>5 years,0,0,Low,0,Liability-Only,-200,1900,0,1,1,100,Agent,7,1,4,2,2,4,722.9303105825351,-50,Urban,100
35,0,Single,0,1-5 years,50,1,Low,50,Liability-Only,-200,2150,0,1,0,50,Agent,2,1,7,1,3,13,687.8363313448365,50,Urban,100
44,0,Widowed,0,1-5 years,50,1,Low,50,Full Coverage,0,2200,0,0,0,0,Online,12,1,5,0,2,8,748.5903376639552,-50,Rural,0
44,0,Widowed,0,<1 year,100,3,Medium,300,Liability-Only,-200,2400,0,0,0,0,Online,6,1,7,1,3,5,795.0970111870316,-50,Urban,100
29,0,Single,0,1-5 years,50,2,Low,100,Full Coverage,0,2400,0,1,0,50,Online,6,1,2,1,2,11,697.4982070009497,50,Urban,100
54,0,Single,0,1-5 years,50,0,Low,0,Liability-Only,-200,2050,0,1,0,50,Online,4,1,5,2,3,2,593.3689993495703,50,Suburban,50
37,0,Married,86,>5 years,0,1,High,200,Full Coverage,0,2486,0,0,0,0,Online,1,0,5,1,1,12,688.3276352819438,50,Rural,0
28,0,Single,0,1-5 years,50,0,Low,0,Full Coverage,0,2250,0,0,0,0,Referral,15,1,6,1,1,10,795.2593293165448,-50,Urban,100
48,0,Single,0,1-5 years,50,0,Medium,0,Full Coverage,0,2150,1,1,0,100,Agent,13,1,5,3,2,13,765.5373915600716,-50,Urban,100
26,0,Divorced,0,1-5 years,50,2,Low,100,Full Coverage,0,2450,0,0,0,0,Online,21,1,3,5,3,11,676.3620960114723,50,Urban,100
40,0,Single,0,1-5 years,50,1,Low,50,Liability-Only,-200,2050,0,1,0,50,Online,13,1,6,3,2,8,699.1230024350225,50,Rural,0
39,0,Married,86,>5 years,0,1,Low,50,Liability-Only,-200,2186,0,0,0,0,Online,8,1,5,2,3,4,691.6429999275643,50,Suburban,50
56,1,Single,0,1-5 years,50,1,High,200,Full Coverage,0,2550,0,0,0,0,Agent,17,1,5,2,1,10,607.5350251632726,50,Urban,100
47,0,Married,86,>5 years,0,0,Medium,0,Full Coverage,0,2386,0,0,0,0,Online,17,1,5,2,3,7,677.5808010759387,50,Urban,100
39,0,Married,86,1-5 years,50,0,Low,0,Full Coverage,0,2436,0,0,0,0,Online,12,1,3,3,1,8,686.1200842747937,50,Urban,100
52,0,Married,86,>5 years,0,2,Low,100,Liability-Only,-200,2186,0,0,0,0,Agent,2,1,6,4,3,6,729.8187373128584,-50,Urban,100
60,1,Married,86,<1 year,100,0,Low,0,Full Coverage,0,2436,0,0,1,50,Agent,7,0,4,3,3,9,699.5214758762636,50,Urban,100
48,0,Divorced,0,1-5 years,50,2,Low,100,Liability-Only,-200,2200,0,1,0,50,Online,8,1,5,2,1,8,655.9942550421756,50,Urban,100
40,0,Married,86,>5 years,0,0,Low,0,Full Coverage,0,2136,0,1,0,50,Agent,11,1,3,0,2,11,737.4247411446407,-50,Rural,0
20,0,Married,86,1-5 years,50,0,High,0,Liability-Only,-200,2036,1,1,0,100,Agent,14,1,6,1,2,8,788.9852873502911,-50,Urban,100
24,0,Widowed,0,<1 year,100,0,Low,0,Liability-Only,-200,2200,0,0,0,0,Online,15,0,4,0,2,11,672.1966665023749,50,Urban,100
35,0,Married,86,1-5 years,50,0,Low,0,Liability-Only,-200,2086,1,0,0,50,Agent,23,1,4,2,2,5,731.1319593875096,-50,Urban,100
30,0,Married,86,1-5 years,50,0,Low,0,Full Coverage,0,2336,1,1,0,100,Online,4,0,3,3,1,11,654.4263943320744,50,Urban,100
37,0,Married,86,1-5 years,50,0,Low,0,Full Coverage,0,2336,0,0,0,0,Referral,1,1,5,6,1,4,677.6736109364576,50,Rural,0
40,0,Married,86,1-5 years,50,3,Low,150,Liability-Only,-200,2186,0,0,0,0,Referral,25,1,6,1,2,11,708.658568227981,-50,Rural,0
47,0,Married,86,1-5 years,50,1,Low,50,Liability-Only,-200,2136,1,0,0,50,Online,13,1,6,6,2,7,623.9613720548563,50,Rural,0
38,0,Married,86,1-5 years,50,1,Low,50,Full Coverage,0,2486,0,0,0,0,Agent,9,1,6,2,3,9,671.1230693501869,50,Urban,100
47,0,Single,0,1-5 years,50,2,Medium,200,Full Coverage,0,2400,0,0,0,0,Referral,22,0,3,0,1,10,786.5706311439466,-50,Suburban,50
40,0,Married,86,<1 year,100,0,Low,0,Full Coverage,0,2436,0,0,0,0,Online,1,1,4,3,2,4,686.7567405289815,50,Suburban,50
18,0,Married,86,>5 years,0,2,Low,100,Liability-Only,-200,2136,0,0,1,50,Agent,24,1,6,1,3,5,707.2456399600889,-50,Urban,100
25,0,Divorced,0,<1 year,100,1,Low,50,Full Coverage,0,2400,0,0,0,0,Referral,21,1,5,0,1,7,667.9610248581356,50,Suburban,50
37,0,Married,86,>5 years,0,1,Low,50,Liability-Only,-200,2036,0,1,0,50,Online,7,1,10,3,3,14,807.1382253974397,-50,Suburban,50
21,0,Widowed,0,1-5 years,50,0,Low,0,Liability-Only,-200,2050,0,1,1,100,Online,11,1,7,0,3,11,699.4562528241181,50,Urban,100
48,0,Married,86,1-5 years,50,1,Low,50,Liability-Only,-200,2186,0,0,0,0,Online,25,1,4,2,1,2,783.0737755077054,-50,Urban,100
62,1,Married,86,1-5 years,50,0,Medium,0,Full Coverage,0,2286,0,0,0,0,Online,5,1,5,3,3,2,729.0697360165403,-50,Suburban,50
58,1,Single,0,1-5 years,50,0,Low,0,Full Coverage,0,2200,0,0,1,50,Online,6,1,6,2,3,9,743.7047659064357,-50,Urban,100
36,0,Married,86,1-5 years,50,1,Low,50,Liability-Only,-200,2136,0,0,0,0,Online,15,1,6,2,3,9,706.0200250955625,-50,Suburban,50
62,1,Married,86,1-5 years,50,2,Low,100,Full Coverage,0,2436,0,0,0,0,Online,21,1,3,2,2,6,716.925700453665,-50,Urban,100
42,0,Single,0,<1 year,100,1,Medium,100,Liability-Only,-200,2150,0,0,0,0,Online,2,1,2,1,2,4,700.8851573769942,-50,Suburban,50
34,0,Married,86,>5 years,0,0,Low,0,Liability-Only,-200,2136,0,1,0,50,Online,1,1,7,3,3,7,664.1251073141042,50,Urban,100
30,0,Single,0,>5 years,0,0,High,0,Full Coverage,0,2050,1,0,0,50,Agent,7,1,5,4,2,12,775.7509172531577,-50,Rural,0
35,0,Widowed,0,1-5 years,50,0,Low,0,Full Coverage,0,2250,0,0,0,0,Online,19,1,7,1,2,10,741.6092043491964,-50,Urban,100
34,0,Married,86,1-5 years,50,0,Low,0,Full Coverage,0,2336,0,0,0,0,Agent,8,0,5,2,2,11,723.1708885560222,-50,Urban,100
42,0,Single,0,1-5 years,50,0,Medium,0,Full Coverage,0,2200,0,1,0,50,Referral,3,1,7,1,2,9,733.9755510122963,-50,Urban,100
42,0,Single,0,1-5 years,50,1,Low,50,Full Coverage,0,2250,0,0,0,0,Online,12,1,6,2,1,4,763.8174174121973,-50,Suburban,50
40,0,Widowed,0,<1 year,100,1,Low,50,Liability-Only,-200,2150,0,0,0,0,Agent,14,1,6,2,3,2,799.3679295276091,-50,Urban,100
46,0,Divorced,0,1-5 years,50,0,Low,0,Liability-Only,-200,2000,0,0,0,0,Online,24,1,3,2,3,13,715.1706592336582,-50,Suburban,50
57,1,Widowed,0,>5 years,0,0,Low,0,Liability-Only,-200,1950,0,0,1,50,Online,1,0,3,2,2,10,756.9240672696465,-50,Urban,100
54,0,Married,86,<1 year,100,0,Medium,0,Full Coverage,0,2386,1,0,0,50,Online,13,0,5,3,2,8,637.8051877001603,50,Suburban,50
18,0,Single,0,1-5 years,50,1,Low,50,Full Coverage,0,2350,1,0,0,50,Referral,5,1,6,4,1,3,657.2664933130053,50,Urban,100
18,0,Married,86,>5 years,0,0,Low,0,Liability-Only,-200,2086,0,0,0,0,Online,15,1,4,1,1,14,639.0252369247331,50,Rural,0
54,0,Married,86,1-5 years,50,0,Low,0,Full Coverage,0,2286,1,0,0,50,Referral,2,1,4,1,2,1,753.3801128820687,-50,Urban,100
19,0,Widowed,0,<1 year,100,0,Low,0,Full Coverage,0,2250,0,0,0,0,Online,5,1,5,6,1,13,722.122569201439,-50,Suburban,50
36,0,Married,86,>5 years,0,0,Medium,0,Full Coverage,0,2236,0,1,0,50,Online,13,1,7,0,1,9,761.7705050163385,-50,Urban,100
22,0,Widowed,0,1-5 years,50,0,Medium,0,Full Coverage,0,2250,0,0,0,0,Agent,30,1,4,2,2,14,755.1656065585846,-50,Urban,100
18,0,Married,86,<1 year,100,0,Low,0,Liability-Only,-200,2186,0,0,0,0,Agent,16,1,3,2,1,2,729.2459006999107,-50,Urban,100
48,0,Divorced,0,1-5 years,50,0,Medium,0,Full Coverage,0,2300,1,0,0,50,Agent,4,1,3,4,3,1,669.2694035086386,50,Urban,100
51,0,Married,86,1-5 years,50,0,Low,0,Liability-Only,-200,2136,0,0,0,0,Agent,6,0,5,2,1,9,749.4341725653109,-50,Urban,100
31,0,Married,86,>5 years,0,1,Low,50,Full Coverage,0,2286,0,1,1,100,Agent,21,1,7,2,1,5,671.3304950813492,50,Suburban,50
18,0,Married,86,1-5 years,50,0,Low,0,Full Coverage,0,2236,1,0,0,50,Agent,18,1,5,1,3,3,711.0631964617885,-50,Suburban,50
31,0,Single,0,1-5 years,50,0,Low,0,Full Coverage,0,2200,0,1,0,50,Online,2,1,5,2,1,5,745.508929301282,-50,Urban,100
45,0,Married,86,1-5 years,50,0,Medium,0,Liability-Only,-200,2136,0,0,0,0,Online,12,0,4,1,2,10,764.8219830762941,-50,Urban,100
18,0,Single,0,>5 years,0,0,Low,0,Full Coverage,0,2200,0,0,0,0,Agent,22,1,4,2,1,5,668.6411435865557,50,Rural,0
42,0,Married,86,<1 year,100,0,Low,0,Full Coverage,0,2336,0,0,0,0,Agent,19,1,8,4,2,3,720.8629492265036,-50,Suburban,50
39,0,Married,86,1-5 years,50,0,High,0,Full Coverage,0,2436,0,0,0,0,Online,12,0,5,3,3,14,670.8855978126713,50,Urban,100
48,0,Married,86,>5 years,0,0,Low,0,Full Coverage,0,2336,0,1,0,50,Online,6,1,8,2,2,2,678.4158843258099,50,Urban,100
41,0,Married,86,>5 years,0,2,Low,100,Liability-Only,-200,2136,0,1,0,50,Agent,15,1,4,2,3,1,707.1554278828808,-50,Urban,100
25,0,Divorced,0,<1 year,100,0,Low,0,Liability-Only,-200,2050,1,0,0,50,Online,17,1,7,2,1,7,719.1247926955846,-50,Urban,100
57,1,Divorced,0,<1 year,100,1,Medium,100,Full Coverage,0,2400,0,0,0,0,Online,4,1,3,1,1,3,747.9951155732301,-50,Urban,100
37,0,Married,86,1-5 years,50,1,High,200,Full Coverage,0,2436,0,0,0,0,Online,11,1,6,3,3,4,712.4406113509597,-50,Rural,0
39,0,Single,0,<1 year,100,0,Low,0,Liability-Only,-200,2100,0,0,0,0,Online,24,1,9,0,2,5,764.410686725431,-50,Urban,100
26,0,Single,0,1-5 years,50,2,Medium,200,Liability-Only,-200,2150,0,0,0,0,Online,4,1,9,3,1,4,733.0839554831134,-50,Rural,0
33,0,Married,86,<1 year,100,1,Medium,100,Full Coverage,0,2486,0,0,0,0,Online,25,1,2,1,2,8,764.3606141336148,-50,Urban,100
26,0,Married,86,<1 year,100,0,Low,0,Full Coverage,0,2336,0,0,0,0,Online,19,1,3,4,1,7,767.5625409379292,-50,Suburban,50
37,0,Single,0,1-5 years,50,0,Low,0,Liability-Only,-200,1950,0,0,1,50,Agent,9,1,9,1,1,3,741.3435601794413,-50,Suburban,50
65,1,Married,86,>5 years,0,0,Low,0,Full Coverage,0,2186,0,0,0,0,Online,11,1,2,3,3,13,725.8945194592075,-50,Rural,0
19,0,Married,86,1-5 years,50,1,Low,50,Full Coverage,0,2236,1,1,1,150,Online,14,1,3,0,3,6,683.3856818358466,50,Rural,0
18,0,Married,86,1-5 years,50,1,Medium,100,Full Coverage,0,2436,0,0,0,0,Online,3,1,8,5,2,7,689.7539650646039,50,Rural,0
62,1,Single,0,>5 years,0,0,Medium,0,Full Coverage,0,2200,0,0,0,0,Online,7,1,6,3,3,10,677.4590781094882,50,Rural,0
36,0,Married,86,1-5 years,50,0,Low,0,Liability-Only,-200,2036,0,0,0,0,Online,22,1,4,3,3,4,710.5241745891724,-50,Rural,0
29,0,Married,86,1-5 years,50,0,Medium,0,Full Coverage,0,2336,0,0,0,0,Online,24,1,7,2,3,4,779.0538493915348,-50,Urban,100
55,1,Married,86,1-5 years,50,1,Low,50,Full Coverage,0,2386,0,1,1,100,Online,11,1,3,3,1,5,666.2513341147242,50,Urban,100
30,0,Married,86,<1 year,100,0,Low,0,Liability-Only,-200,2186,1,1,0,100,Agent,1,1,7,0,2,2,679.1924025074849,50,Urban,100
67,1,Married,86,1-5 years,50,0,Low,0,Full Coverage,0,2336,0,0,0,0,Online,9,0,0,2,1,12,693.7597932858505,50,Rural,0
50,0,Widowed,0,1-5 years,50,0,Medium,0,Full Coverage,0,2200,0,0,0,0,Online,23,1,5,1,3,5,779.5158689054787,-50,Suburban,50
32,0,Married,86,1-5 years,50,1,Medium,100,Liability-Only,-200,2186,0,1,0,50,Online,9,1,4,2,3,6,811.0437731299877,-50,Urban,100
72,1,Single,0,<1 year,100,1,Low,50,Liability-Only,-200,2000,0,0,1,50,Referral,27,1,7,1,2,7,790.1850733572674,-50,Rural,0
30,0,Married,86,1-5 years,50,0,High,0,Liability-Only,-200,1936,1,1,1,150,Online,17,1,7,1,3,4,771.204181913583,-50,Suburban,50
51,0,Single,0,1-5 years,50,0,Medium,0,Full Coverage,0,2350,0,0,0,0,Agent,26,0,5,2,1,12,660.5952019823783,50,Urban,100
44,0,Single,0,<1 year,100,1,Low,50,Liability-Only,-200,2100,0,0,1,50,Online,22,0,1,2,1,14,701.1226716069478,-50,Urban,100
59,1,Married,86,<1 year,100,1,Low,50,Liability-Only,-200,2236,0,1,1,100,Agent,14,1,3,0,1,1,646.755469456384,50,Urban,100
63,1,Divorced,0,>5 years,0,0,Medium,0,Full Coverage,0,2200,1,0,0,50,Agent,15,1,5,1,2,8,680.9617133722295,50,Suburban,50
40,0,Married,86,1-5 years,50,1,Low,50,Full Coverage,0,2286,0,1,0,50,Online,10,0,4,1,3,13,743.6448507912982,-50,Suburban,50
28,0,Divorced,0,<1 year,100,0,Low,0,Liability-Only,-200,2100,0,0,0,0,Agent,16,1,6,2,2,6,704.7534145795003,-50,Urban,100
46,0,Married,86,1-5 years,50,0,Low,0,Full Coverage,0,2236,0,1,1,100,Online,12,0,2,2,1,14,758.2137859653498,-50,Urban,100
29,0,Widowed,0,<1 year,100,0,Medium,0,Full Coverage,0,2300,0,0,0,0,Online,20,1,7,3,1,12,811.9411923971151,-50,Urban,100
70,1,Single,0,>5 years,0,0,High,0,Liability-Only,-200,1950,0,0,0,0,Online,29,1,7,2,3,10,746.1370917588266,-50,Suburban,50
42,0,Widowed,0,>5 years,0,0,Low,0,Full Coverage,0,2300,0,0,0,0,Agent,27,1,6,1,2,12,664.6495178812065,50,Urban,100
34,0,Single,0,1-5 years,50,0,High,0,Full Coverage,0,2250,0,0,0,0,Online,10,1,3,1,1,10,687.6459081931305,50,Rural,0
42,0,Married,86,>5 years,0,1,Low,50,Full Coverage,0,2136,0,1,1,100,Referral,29,1,6,2,1,2,807.101938562176,-50,Rural,0
19,0,Single,0,<1 year,100,0,Low,0,Liability-Only,-200,2100,0,1,0,50,Agent,6,0,4,3,1,13,661.3333764684832,50,Suburban,50
25,0,Divorced,0,>5 years,0,0,Medium,0,Liability-Only,-200,2000,0,0,0,0,Online,19,1,6,2,2,3,734.8646012335358,-50,Urban,100
58,1,Widowed,0,<1 year,100,0,Low,0,Liability-Only,-200,2000,1,0,0,50,Referral,23,0,4,1,1,14,740.3631169611472,-50,Suburban,50
30,0,Married,86,1-5 years,50,0,Low,0,Liability-Only,-200,2036,0,0,0,0,Online,9,1,5,2,3,7,796.8032906090247,-50,Rural,0
24,0,Single,0,>5 years,0,0,Low,0,Full Coverage,0,2200,0,0,0,0,Referral,19,1,6,1,3,3,744.0357133584075,-50,Urban,100
48,0,Married,86,1-5 years,50,1,Low,50,Full Coverage,0,2336,0,1,0,50,Agent,25,1,4,1,2,14,703.6797123369231,-50,Urban,100
57,1,Single,0,>5 years,0,0,Low,0,Liability-Only,-200,1950,0,0,1,50,Online,19,1,8,3,3,5,620.0378581997634,50,Rural,0
50,0,Married,86,<1 year,100,1,Low,50,Full Coverage,0,2336,1,1,0,100,Online,7,1,4,2,3,5,736.7335864029203,-50,Urban,100
54,0,Married,86,1-5 years,50,1,Medium,100,Full Coverage,0,2536,0,0,0,0,Online,9,1,7,2,1,3,687.9477850038777,50,Urban,100
28,0,Widowed,0,<1 year,100,1,Low,50,Full Coverage,0,2250,0,1,0,50,Agent,17,1,3,3,2,3,722.8532686172255,-50,Suburban,50
18,0,Married,86,1-5 years,50,1,Low,50,Full Coverage,0,2436,0,0,0,0,Agent,27,1,4,2,1,1,698.2251792386741,50,Suburban,50
62,1,Single,0,<1 year,100,1,Medium,100,Full Coverage,0,2350,0,1,0,50,Agent,18,0,4,2,1,8,745.1852730054511,-50,Urban,100
35,0,Single,0,<1 year,100,1,High,200,Liability-Only,-200,2300,0,0,0,0,Online,8,1,7,1,2,6,824.5415382863638,-50,Urban,100
36,0,Married,86,1-5 years,50,0,Low,0,Full Coverage,0,2286,0,1,0,50,Online,23,0,5,1,1,12,736.371611963296,-50,Urban,100
59,1,Married,86,>5 years,0,0,Low,0,Full Coverage,0,2236,0,0,0,0,Referral,23,1,8,1,3,1,734.0031460649631,-50,Suburban,50
48,0,Single,0,<1 year,100,0,Medium,0,Liability-Only,-200,2000,0,1,0,50,Online,23,1,6,0,2,14,724.1995062747241,-50,Suburban,50
46,0,Married,86,>5 years,0,0,Low,0,Liability-Only,-200,2086,0,1,0,50,Online,13,1,6,0,1,14,692.6087642536226,50,Suburban,50
72,1,Divorced,0,<1 year,100,1,Low,50,Liability-Only,-200,2200,0,1,0,50,Online,9,0,2,2,2,13,656.0811617180163,50,Urban,100
30,0,Widowed,0,<1 year,100,1,Low,50,Liability-Only,-200,2150,1,0,0,50,Agent,8,1,5,2,3,9,653.7586577731806,50,Suburban,50
53,0,Married,86,1-5 years,50,0,Low,0,Full Coverage,0,2386,0,0,0,0,Referral,13,1,5,2,2,6,674.2225900259057,50,Suburban,50
40,0,Married,86,>5 years,0,0,Low,0,Full Coverage,0,2386,0,0,0,0,Online,13,1,8,1,1,3,661.1541497129672,50,Urban,100
